person_id,weight,class,rep_num,duration,jerk_score,cheating_index,tremor_score,emg_intensity,peak_location,rpe,semantic_tags
A321,5,3,9,0.41524138861747945,1.3556829339488132,11.935113873189243,14.723254609154532,0.4479018940399018,0.2242152466367713,6.0,爆发式借力
A321,5,3,10,0.44782759624441165,2.023334031685726,8.633613998959325,11.474087390719873,0.2704528093481253,0.17567567567567569,6.0,爆发式借力
A321,5,3,11,0.47668966585683736,2.0634440022134686,8.121345465761326,9.841444665992002,0.014435559816539132,0.2978515625,6.0,爆发式借力
A321,5,3,12,0.46877587257601094,1.6979630008116628,10.608858381529505,8.871405380688547,0.04758157203463244,0.7725918570009931,6.0,后程发力困难
A321,5,3,13,0.4650517345615044,1.5245676836171815,12.075568013419758,9.212458104555395,0.19532983924383193,0.8628628628628628,7.0,后程发力困难
A321,5,3,14,0.4273448371646257,1.38742356472353,9.6379371644613,11.628170132743447,0.36898470304554093,0.9989106753812637,7.0,后程发力困难
A321,5,3,15,0.4608620792951846,1.5031834896349041,12.539909580321508,7.976872069123777,0.16850979400573024,0.03636363636363636,7.0,出现躯干借力/晃动 / 爆发式借力
A321,5,3,16,0.40313794007033316,2.008401204684031,9.839603519871403,11.833198681945635,0.01579960634978457,0.06351039260969978,8.0,爆发式借力
A321,5,3,17,0.6503276007832048,1.7819716335649363,9.688979795015713,2.0511011371917887,0.07355997130081994,0.8382247673586256,8.0,向心收缩挣扎 / 后程发力困难
A321,5,4,1,0.3565862148890014,1.9641097641926792,9.23613016394986,19.156668821621118,0.01823219196737542,0.0,4.0,爆发式借力
A321,5,4,2,0.3849827672496138,2.0284515423673133,7.707627371435871,10.874488477724478,0.1084952914749298,0.7496977025392987,4.0,后程发力困难
A321,5,4,3,0.3942931122858801,1.7769524636182477,9.976212291089368,11.212312029686348,0.2935334042854822,0.9362455726092089,4.0,后程发力困难
A321,5,4,4,0.3901034570195603,1.5500425701129044,10.102052676123535,11.432017007556214,0.3825726028926585,0.4821002386634845,4.0,动作教科书级
A321,5,4,5,0.40825862984027966,1.7659809144601326,9.686245335901363,13.961137724494774,0.337383455796402,0.1619156214367161,5.0,爆发式借力
A321,5,4,6,0.3784655257242273,1.801956465349643,9.262765177093211,11.210314900870792,0.028702529096322718,0.36654366543665434,5.0,动作教科书级
A321,5,4,7,0.42408621640193245,1.990105802062774,8.074602243929203,11.080224696514835,0.08146210289919709,0.9538968166849616,5.0,后程发力困难
A321,5,4,8,0.4441034582299051,1.9013253596265067,8.130146280793882,11.783490463403282,0.20937182667326387,0.9989517819706499,6.0,后程发力困难
A321,5,4,9,0.37660345671697404,1.7476419864028356,9.393519407095004,12.148772694396191,0.3609271472583477,0.14956736711990112,6.0,爆发式借力
A321,5,4,10,0.4198965611356126,1.855586796119108,9.161836088428633,8.769894074210125,0.3288712621315164,0.3026607538802661,6.0,动作教科书级
A321,5,4,11,0.40081035381126656,2.145016167169576,8.306445668857346,10.877484516614324,0.029935077378471987,0.3612078977932636,6.0,动作教科书级
A321,5,4,12,0.37939656022785395,2.0832276321774863,8.882614313262494,14.48737876849316,0.024520094695861642,0.9987730061349693,6.0,后程发力困难
A321,5,4,13,0.36031035290350794,2.6722854872022967,8.514366705245603,11.458522312692091,0.13482619246266567,0.4496124031007752,6.0,动作教科书级
A321,5,4,14,0.40267242281851984,2.1216635225942344,8.955104361885661,12.15917565829203,0.23119939552069518,0.9167630057803469,6.0,后程发力困难
A321,5,4,15,0.3514655251190549,2.3588236454408853,7.2116556686504865,10.82872582347465,0.3083856430032097,0.9986754966887417,6.0,后程发力困难
A321,5,4,16,0.3994138020558266,2.3414816624341026,8.013614904051506,10.791121345835723,0.2514173232496024,0.07692307692307693,6.0,爆发式借力
A321,5,4,17,0.40546552632939975,1.5697353559150247,9.182139661771723,10.809662162346052,0.03409673933425561,0.30539609644087257,6.0,动作教科书级
A321,5,4,18,0.4352586304454521,1.732645769001058,10.095781598655872,12.813791602352424,0.027027260816062156,0.9989304812834224,7.0,后程发力困难
A321,5,4,19,0.3928965605304402,3.1860410413464946,6.5051426455990615,10.788022263075725,0.11169076230144856,0.6812796208530806,7.0,动作流畅度下降
A321,5,4,20,0.3700862151915876,2.4109612152978666,8.94631765326181,12.25937748904007,0.2628466804660385,0.9987421383647799,7.0,后程发力困难
A321,5,4,21,0.3859138017532404,2.052980851322917,7.852198699391635,12.501981857117084,0.30674036023696255,0.9987937273823885,7.0,后程发力困难
A321,5,4,22,0.39568966404132005,2.3963440665651845,8.289456374063894,13.786313027945305,0.25486978432997304,0.08352941176470588,7.0,爆发式借力
A321,5,4,23,0.388241388012307,2.463363166425858,7.793575646365538,14.581779932661265,0.04985175571089571,0.4136690647482014,8.0,动作教科书级
A321,5,4,24,0.43618966494907874,2.5010471079391943,7.87328863107795,18.022733882483994,0.03968386732878487,0.9989327641408752,8.0,后程发力困难
A321,5,4,25,0.37194828419884085,2.4758677617765747,7.587751675321486,14.628109762401923,0.16552030189869768,0.9536921151439299,8.0,后程发力困难
A321,5,4,26,0.4208275956392392,2.337142829737076,9.766126750487759,13.319831644973213,0.34403150424562784,0.5995575221238938,9.0,动作教科书级
A321,5,4,27,0.408724147092093,2.533387129631452,8.206849472115184,12.009824615500692,0.3934202884772227,0.715261958997722,9.0,后程发力困难
A321,5,4,28,0.656379325056778,2.863795565686865,7.370109404849447,2.1098711127238476,0.02539231375062146,0.19645390070921986,9.0,动作流畅度下降 / 向心收缩挣扎 / 爆发式借力
A321,5,5,1,0.37241380145065417,4.129119750381381,6.8418819891693,14.477686219294462,0.02584562198636161,0.99875,5.0,后程发力困难
A321,5,5,2,0.31050000695948293,2.6520015818717586,11.504493586602612,16.641480583996046,0.15189663650485358,0.6041979010494752,5.0,动作教科书级
A321,5,5,3,0.34401724909004183,3.0563181270116955,9.660288058899313,16.16790870963176,0.28279275317165636,0.4330175913396482,5.0,动作教科书级
A321,5,5,4,0.3803275947314806,1.9630843387340724,13.982021768579994,13.110346869859788,0.19526383093062952,0.0,5.0,出现躯干借力/晃动 / 爆发式借力
A321,5,5,5,0.36543104267345444,2.693159900119233,10.595705126235915,14.670066572840625,0.018698299334409377,0.0,6.0,爆发式借力
A321,5,5,6,0.36822414618433436,2.5480383923532153,11.33316141321052,12.831464588517136,0.012974031412503613,0.17572692793931732,6.0,爆发式借力
A321,5,5,7,0.37474138770972076,2.5606394139190884,9.991919121757782,16.071548343376424,0.05122590028544695,0.9987577639751553,6.0,后程发力困难
A321,5,5,8,0.3230689727584425,2.647704687232164,10.570056881826911,17.183791461130237,0.25232859092399057,0.9985590778097982,6.0,后程发力困难
A321,5,5,9,0.3496034561118016,2.8034447193779095,9.887449917480852,10.60477977467678,0.25488847804299086,0.0013315579227696406,6.0,爆发式借力
A321,5,5,10,0.369155180687961,2.7759114310496367,10.787977593347158,13.716857648144307,0.07237535132668124,0.0,6.0,爆发式借力
A321,5,5,11,0.3305172487874556,2.749387303572259,10.528548925127899,17.38247590297353,0.012346362659323533,0.45492957746478874,6.0,动作教科书级
A321,5,5,12,0.3519310423708682,2.6687294056115243,10.42814667808686,15.044442931089199,0.03307062765466653,0.9986772486772487,6.0,后程发力困难
A321,5,5,13,0.33005173153564227,3.795360571242453,8.410866656870384,14.35124596842757,0.21311869031781658,0.998589562764457,6.0,后程发力困难
A321,5,5,14,0.34401724909004183,3.8433406551043254,7.90129036355911,16.905317744999188,0.3150554151176764,0.20568335588633288,6.0,爆发式借力
A321,5,5,15,0.34820690435636165,3.482947128632483,8.44052954952656,12.530132222074645,0.24718200648285185,0.3235294117647059,7.0,动作教科书级
A321,5,5,16,0.3519310423708682,3.6099242855646017,7.741438474054134,11.729443310591865,0.01812576566418991,0.0,7.0,爆发式借力
A321,5,5,17,0.3500689733636149,3.524758343154389,8.22629600955785,10.506011970430755,0.012440200722424525,0.0,7.0,爆发式借力
A321,5,5,18,0.5125344942464628,2.4274272436391846,8.492218534390675,1.7021562938075636,0.054599198990488346,0.8528610354223434,7.0,向心收缩挣扎 / 后程发力困难
A321,5,6,1,0.4748275968495841,2.9143925421008134,9.153892132753652,18.155491869427728,0.01174026035580396,0.0,4.0,爆发式借力
A321,5,6,2,0.30863793795222966,2.2202032552987117,13.200022341183702,19.459651057597046,0.0074342367705307775,0.9984917043740573,4.0,后程发力困难
A321,5,6,3,0.37194828419884085,1.4659773937879241,18.810362857696138,14.952907934511826,0.00750576712183437,0.4818523153942428,4.0,出现躯干借力/晃动
A321,5,6,4,0.4068620780848397,1.9542198931916548,14.001464811563602,16.28399063542145,0.008423294775277534,0.9988558352402745,4.0,后程发力困难
A321,5,6,5,0.37241380145065417,1.9920816483819959,14.6526773696961,13.289993283816866,0.05929506746954904,0.99875,4.0,出现躯干借力/晃动 / 后程发力困难
A321,5,6,6,0.3612413874071346,1.79872511573263,16.4806178766865,18.924802776214623,0.2540656642399989,0.9304123711340206,4.0,出现躯干借力/晃动 / 后程发力困难
A321,5,6,7,0.3333103522983355,2.6677640597340377,10.553180411624433,14.892282210485318,0.2490803252696271,0.0,4.0,爆发式借力
A321,5,6,8,0.3542586286299348,2.958963902703436,9.771583269114252,15.221052838944125,0.11473632990464382,0.0,4.0,爆发式借力
A321,5,6,9,0.34215518008278856,2.5276427871222023,11.62637014709559,14.125155145858463,0.013818414936139155,0.0,5.0,爆发式借力
A321,5,6,10,0.35379311137812147,1.6985286533061963,15.606413898366828,14.946602627779066,0.032397364190332595,0.9986842105263158,5.0,出现躯干借力/晃动 / 后程发力困难
A321,5,6,11,0.319344834743936,2.158520746648034,11.974740488730202,13.246178106987136,0.17522862262881925,0.9256559766763849,5.0,后程发力困难
A321,5,6,12,0.3305172487874556,2.2551516898247037,12.653076636814927,13.325145935279114,0.22428638645373752,0.9985915492957746,5.0,后程发力困难
A321,5,6,13,0.3314482832910822,2.006697735246662,13.35997449497671,11.152490540779876,0.1959530481038119,0.324438202247191,5.0,动作教科书级
A321,5,6,14,0.35612069763718807,2.5273472560373786,10.622953323075214,14.465208854544345,0.018598807196781305,0.16732026143790849,5.0,爆发式借力
A321,5,6,15,0.34494828359366847,3.1561079681599926,9.244592127593027,13.143217941839925,0.009565751856717214,0.16059379217273953,5.0,爆发式借力
