person_id,class,rep_num,weight_first,weight_nunique,rpe,n_rows,duration_s,emg_mean_abs,emg_std,emg_p2p,acc_norm_mean,acc_norm_std,gyro_norm_mean,gyro_norm_std,jerk_score,cheating_index,peak_location,nan_ratio,constant_ratio,spike_ratio
A321,2,9,10.0,3,8.0,4765,2.218189704890459,0.3914445082266527,0.5417147944634789,4.209659,1.0405538667750895,0.16285941751517774,91.48032572410321,46.24862073329095,47.69890580955979,6.7230050421742735,0.6087321578505458,0.0,0.016822598056854984,0.0
A321,3,1,10.0,3,5.0,3080,1.4337931355850186,0.04241146912337662,0.04655084957293932,0.4857557,1.0569661224074085,0.1591042227049251,99.70923136508765,47.91728122569795,52.16175121650974,7.478052169438437,0.700552127314063,0.0,0.018883682086020506,0.0
A321,3,2,10.0,3,5.0,2708,1.2606207179104645,0.11110671384785821,0.1473016185585818,1.3662929,1.0585780196874748,0.16448354092175582,105.32745749672516,47.8840254668211,50.4199114783318,8.798948401318807,0.10565201329885482,0.0,0.01319330835400285,0.0
A321,3,3,10.0,3,6.0,2743,1.2769138217239306,0.24907120087495443,0.331542218323518,2.5414054,1.0600898418231774,0.16521261377694815,108.00664438290296,45.3878689405743,53.26019973516273,7.852113452229887,0.30926331145149527,0.0,0.014952589350838805,0.0
A321,3,4,10.0,3,6.0,2758,1.2838965805011304,0.4548043761058739,0.5983113001569348,4.4365911,1.0583988725031366,0.1588142490844705,109.64541672963252,49.356026175178414,50.13448748821938,9.418018273755404,0.24737033006891548,0.0,0.012176796725218925,0.0
A321,3,5,10.0,3,6.0,2935,1.3662931340720876,0.5203864611925043,1.0496536259097573,10.9483025,1.057001861633986,0.14812995888887825,107.07766380253263,47.09294693332645,49.38217194926578,9.892163474669164,0.18984321745057942,0.0,0.015337423312883436,0.0
A321,3,6,10.0,3,7.0,3063,1.4258793423041922,0.08712049611492,0.13379275288370354,1.877226,1.0555579521359877,0.13832309508203797,104.06963594285116,45.038781883754396,46.800249383923834,9.00877627183723,0.4666884389288047,0.0,0.01782215172156387,0.00023319807844783357
A321,3,7,10.0,3,7.0,2848,1.325793133164329,0.06552096365870787,0.09016516489196848,1.1245899000000001,1.057103741328925,0.15479190999022835,108.87349643794785,47.11033943614314,48.06436106364931,8.494937628295006,0.43940990516332984,0.0,0.01736163379998996,0.00015048154093097913
A321,3,8,10.0,3,7.0,3359,1.5636724488409344,0.16023696040488242,0.21018634521452553,1.7845731,1.0538277548823727,0.12228098181047249,93.21898737141444,41.28398451537259,39.77989911036526,10.544315336309548,0.6113758189398452,0.0,0.014889815366289456,0.0
A321,3,9,10.0,3,7.0,4337,2.018948321114359,0.4556077804011989,0.6240129279803368,5.2081941,1.050729238720895,0.15811026952992674,89.29887242066664,42.519986242888685,52.648388016100796,7.522163300288224,0.8863007380073801,0.0,0.01620980495519241,0.0
A321,3,10,10.0,2,8.0,1911,0.8896034682152502,0.6981010650968079,1.3744955009103101,10.9464561,1.0560023708675546,0.13547247034265955,106.46417838432818,43.968752916124714,39.67785581642199,8.90511543549387,0.5884816753926702,0.0,0.01824981301421092,0.0
A321,3,11,10.0,2,8.0,2555,1.189396578383027,0.4369292457534246,1.1801868476520354,10.948973899999999,1.0470360545097377,0.11464818647882458,90.03289838595627,46.210790046920614,44.04624245728232,9.413139613462969,0.060297572435395456,0.0,0.022206063318044526,0.0
A321,4,1,10.0,3,6.0,2592,1.2066207167001195,0.03772469799382716,0.040310316753270445,0.36607920000000005,1.059591065568573,0.20363997102399894,116.61169595326237,56.32952467469519,59.20362698700674,6.698222159414196,0.6626785025086839,0.0,0.017202403925676794,0.0
A321,4,2,10.0,3,6.0,2619,1.219189682499079,0.1424269699121802,0.18842809043168368,1.5359884,1.060254071552806,0.17327517198262954,111.23747852860336,50.874084733610026,56.956635511247605,6.87991610709488,0.9388846447669977,0.0,0.014023791334715706,0.0
A321,4,3,10.0,3,6.0,2765,1.2871552012638234,0.32775912260397827,0.4462097872078238,3.7940642,1.0573507197163194,0.16307670606186941,109.68686016052153,49.81307658258388,59.942174877341046,7.387566981301921,0.25470332850940663,0.0,0.014575149886293158,0.0
A321,4,4,10.0,3,6.0,2864,1.333241409193342,0.6007594508729049,0.855904834862523,8.994705100000001,1.0528880687140496,0.1472777600319398,109.57738711127239,49.146347208041355,51.77270423657404,8.287960859989589,0.8526021655606008,0.0,0.015917369392744872,0.00019952114924181964
A321,4,5,10.0,3,6.0,3013,1.4026034797135263,0.7424889440424826,1.603713807143474,10.9484703,1.0551342700162376,0.1488455434611209,108.73133039063286,49.55783635367016,51.21131427808476,8.227338003589612,0.7573041168658698,0.0,0.018639726807057482,0.0
A321,4,6,10.0,3,7.0,2906,1.3527931337695014,0.061700363420509295,0.07974676740864715,1.0000458,1.0533074861870224,0.15212033935316452,107.35355107602736,49.380911479477696,50.53024938169599,8.274873101954435,0.08502581755593804,0.0,0.017752643225965085,0.00014747812407826173
A321,4,7,10.0,3,7.0,3126,1.4552069291684313,0.14154217373640435,0.19885321131262368,1.6868848,1.0528653224846758,0.13497496476042467,101.16613057191825,47.79722611748814,46.236208606932145,8.094187730040717,0.68704,0.0,0.016914285714285715,0.0
A321,4,8,10.0,3,7.0,3276,1.525034516940429,0.37704570222832723,0.532456205059459,4.5624780000000005,1.0506450377849976,0.12069998367145192,99.48542927623872,42.840615300676674,44.21722269919869,8.426937385414067,0.24396946564885497,0.0,0.01696837513631407,0.0
A321,4,9,10.0,3,8.0,3242,1.509206930378776,0.8079101698642813,1.6128321382727868,15.680140399999999,1.0502958552616788,0.14048427144975073,98.4615976314679,45.84670076997263,43.891988569839775,7.183883063702361,0.48812095032397407,0.0,0.019306210605192404,0.0
A321,4,10,10.0,3,8.0,3422,1.5930000357051732,0.39695952995324374,1.0587519714128777,10.947631099999999,1.0508550596728978,0.1201344783745902,96.85608046860214,43.652158912636516,43.57042192149591,6.001437993803745,0.8152586962876351,0.0,0.021213513174927968,0.0
A321,4,11,10.0,3,9.0,4460,2.076206943087397,0.1348979130044843,0.2198462366656584,3.4657511000000003,1.043573722819438,0.1531578609181097,94.95138644293745,58.821255759166164,63.45940746458943,4.933110839548475,0.8033191298497421,0.0,0.020504277064043824,0.0007687379884689302
A321,5,1,10.0,3,5.0,2988,1.3909655484181933,0.04305192479919679,0.04537513831490819,0.4600747,1.0564864931441404,0.16155427777670345,98.46272626613201,49.33567211296151,55.32621612669437,4.884635502633715,0.7589554737194509,0.0,0.020134870151609356,4.7810288774144196e-05
A321,5,2,10.0,3,5.0,2587,1.204293130441053,0.14242510885195206,0.19651322581828432,1.7516747000000001,1.0607987861346746,0.18433342085693302,111.74002406356851,48.89037702563855,59.984263170478506,5.773606486358875,0.6991492652745553,0.0,0.014418296320848525,0.0
A321,5,3,10.0,3,6.0,2775,1.2918103737819566,0.250952156,0.3408199382924153,2.9429007,1.061269299925936,0.1684652571025055,109.94518443114833,50.06900616285969,62.720034912287126,6.0215118738271745,0.8403028118240807,0.0,0.013183644041610876,0.0
A321,5,4,10.0,3,6.0,2911,1.355120720028568,0.41994346382686365,0.5905563256231373,5.0442054,1.0561858450991364,0.14972615674196824,103.59782310452057,47.121183136209034,58.08410193116855,5.854153508301365,0.5020618556701031,0.0,0.014580265095729013,0.0
A321,5,5,10.0,3,6.0,3199,1.4891896885508034,0.21807992216317598,0.3929436557263708,4.7991455,1.0542068662845798,0.13355058045041712,97.9438942809148,44.483058109194545,54.26648959132371,5.773393990201905,0.1253908692933083,0.0,0.017644956669346915,8.931362479346224e-05
A321,5,6,10.0,3,7.0,3161,1.4715000329818975,0.0787440731097754,0.11620404033084916,1.3575647,1.0535292939326197,0.13688666724666668,100.48527960949934,44.66368329179878,51.07849905696199,5.261232798024762,0.1651898734177215,0.0,0.016184448462929473,0.00018077461924345822
A321,5,7,10.0,3,7.0,3328,1.5492414140347215,0.11040419924879807,0.15881014119653958,2.0833447,1.055472922454264,0.12737710668839108,96.52690546697353,42.46936409104776,50.092384322336166,5.223371744248974,0.48872858431018934,0.0,0.01455622826226974,0.00012877747252747253
A321,5,8,10.0,3,8.0,3143,1.4631207224492577,0.2656036668469615,0.3921864121928424,4.9790799,1.053630632907153,0.1422678459510973,99.15985178777396,44.77029842307655,50.28879144835864,5.219506588017801,0.767982176957352,0.0,0.015322360643811947,0.0001363574382982592
A321,5,9,10.0,3,9.0,3327,1.5487758967829082,0.37005959675383227,0.527258160018475,4.2386969,1.0542608675692013,0.13230663032276896,92.11983874788798,44.56610820815697,50.32396493692261,5.379087161300775,0.15844858689116056,0.0,0.01507602439652951,0.0
A321,5,10,10.0,3,9.0,3719,1.7312586594937287,0.3349635370529712,0.829935526735534,10.8373541,1.047349421230904,0.1343165602332057,93.71450822114737,49.00001162775708,45.59142475145103,5.068844637895391,0.1909628832705756,0.0,0.019864750633981403,0.0009603195943610034
A321,5,11,10.0,2,9.0,1988,0.9254482966048757,0.07797762238430583,0.11599458473020897,1.0473793,1.0544589433214253,0.1580593880976312,101.02480634929468,47.90811940303405,38.26273188706429,6.767698003200088,0.0840463009562154,0.0,0.020130850528434826,0.0
A321,5,12,10.0,2,10.0,2589,1.2052241649446795,0.10001798447276943,0.15060709873252212,1.7038377,1.048090853222287,0.12652847201844947,77.8758318448075,53.158100374560995,38.6367867678855,7.324680806163412,0.40224111282843894,0.0,0.02125193199381762,5.517850245544336e-05
A321,6,1,10.0,3,4.0,3104,1.4449655496285383,0.05268394983891752,0.07724597723129976,0.920821,1.05290552604785,0.17197518821286456,97.296696809837,51.359099985054215,49.65857932194553,7.525470191242583,0.6635514018691588,0.0,0.018967819161180424,0.0
A321,6,2,10.0,3,4.0,2588,1.2047586476928662,0.16470459714064914,0.24406021697145938,2.3539177000000002,1.0603376022952935,0.1862144630552049,115.57566179954696,50.790100128065056,57.499321264774395,6.780471671740504,0.5241592578275995,0.0,0.012535203489977359,0.0
